28        3026      
3026      393MY     
393MY     27G       
27G       13G       
13G       386MY     
386MY     62        
62        10G       
10G       9G        
9G        384MY     
384MY     8G        
8G        112       
112       383MY     
383MY     5G        
5G        382MY     
382MY     6G        
6G        7G        
7G        11G       
11G       385MY     
385MY     123       
123       124       
124       12G       
12G       125       
125       126       
126       26G       
26G       25G       
25G       24G       
24G       392MY     
392MY     22G       
22G       391MY     
391MY     21G       
21G       20G       
20G       19G       
19G       382MY     
5G        4G        
4G        307G      
307G      308G      
308G      309G      
309G      310G      
310G      311G      
311G      312G      
312G      313G      
313G      23G       
23G       127       
127       3029      
2148      3029         522.501
2147      2148         522.501
2146      2147         522.501
2145      2146         522.501
2098      2145         522.501
2815      2098         215.500
2815      2834      
2834      2835      
2836      2835         300.002
2837      2836         300.002
2838      2837         300.002
2839      2838         300.002
2840      2839         300.001
2840      2841      
2841      355       
355       28        
129       126          470.500
129       123       
124       130       
130       131          522.500
131       125          522.502
153       62        
144       2815         522.500
142       144          522.500
141       142          522.501
140       141          522.130
139       140          525.278
137       139          522.500
125       137          522.502
124       153       
112       152       
152       151       
151       150       
150       149       
149       148       
148       147       
147       146           84.583
146       145       
145       123       
126       127          470.500
145       153       
